,antecedents,consequents,antecedent support,consequent support,support,confidence,lift
271,frozenset({'DOGE'}),"frozenset({'BTC', 'WRX'})",0.16666666666666666,0.08333333333333333,0.08333333333333333,0.5,6.0
272,"frozenset({'BTC', 'DOGE'})",frozenset({'XRP'}),0.125,0.375,0.08333333333333333,0.6666666666666666,1.7777777777777777
273,"frozenset({'BTC', 'XRP'})",frozenset({'DOGE'}),0.16666666666666666,0.16666666666666666,0.08333333333333333,0.5,3.0
274,"frozenset({'DOGE', 'XRP'})",frozenset({'BTC'}),0.08333333333333333,0.2916666666666667,0.08333333333333333,1.0,3.4285714285714284
275,frozenset({'BTC'}),"frozenset({'DOGE', 'XRP'})",0.2916666666666667,0.08333333333333333,0.08333333333333333,0.2857142857142857,3.4285714285714284
276,frozenset({'DOGE'}),"frozenset({'BTC', 'XRP'})",0.16666666666666666,0.16666666666666666,0.08333333333333333,0.5,3.0
277,frozenset({'XRP'}),"frozenset({'BTC', 'DOGE'})",0.375,0.125,0.08333333333333333,0.2222222222222222,1.7777777777777777
278,"frozenset({'BTC', 'WRX'})",frozenset({'XRP'}),0.08333333333333333,0.375,0.08333333333333333,1.0,2.6666666666666665
279,frozenset({'XRP'}),"frozenset({'BTC', 'WRX'})",0.375,0.08333333333333333,0.08333333333333333,0.2222222222222222,2.6666666666666665
280,"frozenset({'LTC', 'COTI'})",frozenset({'CAKE'}),0.125,0.25,0.08333333333333333,0.6666666666666666,2.6666666666666665
281,"frozenset({'LTC', 'CAKE'})",frozenset({'COTI'}),0.08333333333333333,0.3333333333333333,0.08333333333333333,1.0,3.0
282,"frozenset({'COTI', 'CAKE'})",frozenset({'LTC'}),0.08333333333333333,0.16666666666666666,0.08333333333333333,1.0,6.0
283,frozenset({'LTC'}),"frozenset({'COTI', 'CAKE'})",0.16666666666666666,0.08333333333333333,0.08333333333333333,0.5,6.0
284,frozenset({'COTI'}),"frozenset({'LTC', 'CAKE'})",0.3333333333333333,0.08333333333333333,0.08333333333333333,0.25,3.0
285,frozenset({'CAKE'}),"frozenset({'LTC', 'COTI'})",0.25,0.125,0.08333333333333333,0.3333333333333333,2.6666666666666665
286,"frozenset({'CAKE', 'SHIB'})",frozenset({'ENJ'}),0.125,0.25,0.08333333333333333,0.6666666666666666,2.6666666666666665
287,"frozenset({'CAKE', 'ENJ'})",frozenset({'SHIB'}),0.08333333333333333,0.20833333333333334,0.08333333333333333,1.0,4.8
288,"frozenset({'SHIB', 'ENJ'})",frozenset({'CAKE'}),0.08333333333333333,0.25,0.08333333333333333,1.0,4.0
289,frozenset({'CAKE'}),"frozenset({'SHIB', 'ENJ'})",0.25,0.08333333333333333,0.08333333333333333,0.3333333333333333,4.0
290,frozenset({'SHIB'}),"frozenset({'CAKE', 'ENJ'})",0.20833333333333334,0.08333333333333333,0.08333333333333333,0.39999999999999997,4.8
291,frozenset({'ENJ'}),"frozenset({'CAKE', 'SHIB'})",0.25,0.125,0.08333333333333333,0.3333333333333333,2.6666666666666665
292,"frozenset({'CAKE', 'XEM'})",frozenset({'SAND'}),0.08333333333333333,0.375,0.08333333333333333,1.0,2.6666666666666665
293,"frozenset({'SAND', 'XEM'})",frozenset({'CAKE'}),0.125,0.25,0.08333333333333333,0.6666666666666666,2.6666666666666665
294,"frozenset({'CAKE', 'SAND'})",frozenset({'XEM'}),0.125,0.16666666666666666,0.08333333333333333,0.6666666666666666,4.0
